code,language,language_spa,preferred
Chi,Chinese,Chino,False
Zho,Chinese,Chino,False
Cro,Croatian,Croata,False
Hry,Croatian,Croata,True
Dan,Daish,Danés,False
Dut,Dutch,Holandés,False
Nld,Dutch,Holandés,False
En,English,Inglés,False
Eng,English,Inglés,True
Fin,Finnish,Finlandés,False
Fre,French,Francés,False
Fra,French,Francés,False
Ger,German,Alemán,False
Deu,German,Alemán,False
Gre,Greek,Griego,False
Ell,Greek,Griego,False
Ita,Italian,Italiano,False
Jap,Japanese,Japonés,False
Jpn,Japanese,Japonés,True
Kor,Korean,Coreano,False
Nor,Norwegian,Noruego,False
Pol,Polish,Polaco,False
Por,Portuguese,Portugués,False
Bra,Portuguese Brazilian,Portugués brasileño,False
Rus,Russian,Ruso,False
Ser,Serbian,Serbio,False
Srp,Serbian,Serbio,True
Spa,Spanish,Español,False
Swe,Swedish,Sueco,False
